153000029001010102001   5310 #0001    N 027441RDBACACCBACBADEE B CABDB AD AACCDEBEACBAAAEDEDAC DABDCCAACBDE                              
153000030001010102001   5310 #0001    N 027692   D CD  D B AAACABADEDCBAAACACBDEA  ABA  ADEACECEAABDCBDCDDD                              
153000031001010102001   5310 #0001    N 027691RCEDBCDCBDEBDAAACABADEDCBAAACACBDEABDA AACADEACECEAABDCADBCDD                              
153000032001010102001   5310 #0001    N 027693R  DC D  D B AAACABADEDCBAAACACBDEA  ABA   DEACECEAABDCACEDDD                              
153000033001010102001   5310 #0001    N 027694RCBDDDBCDCCCBCABEEBAAEBEEBDEAAEADEBCABBCCDADEACDCAACABC  DBDE                              
153000034001010102001   5310 #0001    N 027695RCBEACBDECADAABDDECCDBDCEBAEBECABDAEAA     BEDCCCBACDCCC                                   
153000035001010102001   5310 #0001    N 027439 BCDEBACBDB*ECBDEACCABDCEDDAABDCBDEEAACAACDBAACAEDCADCACACBDD                              
153000036001010102001   5310 #0001    N 027696RCBDACBAECDDAABDDECCDADAEABEBECECBADDACBDACBEDCCBDCDCBCCDADDA                              
153000037001010102001   5310 #0001    N 027459RAEEBABDECABDABACCBAABDCEBEABAADDAAEACBAABDBEDACEEBBDCACADDDE                              
153000038001010102001   5310 #0001    N 027660RAEEBAEEACECBDABCDBAABDCAAEABCBCDAAEAEBAABDBEDACECBBDCACADDDE                              
153000039001010102001   5310 #0001    N 027461RDABCBBCCADCCBDBEED D CBCACBCDECBACCBBBCCBDBEBC CCABC CDBADDA                              
153000040001010102001   5310 #0001    N 027460 BEEBAEEBDBDECBBCACADBCDCDDCCAAADDEBAABDADCBEDCCEEAAEBDAACADE                              
153000041001010102001   5310 #0001    N 027689RDACCCBEBDBCCAEEBBAEBBBCBAEAEAAEEECCCEBBDBBBEDDC*BABEBCCCCDBD                              
153000042001010102001   5310 #0001    N 027697RBECBDBD EBAC DABCBEDBECBDCBDEAEDEBCE CAECBCECBCECABCCDCCDADB                              
153000043001010102001   5310 #0001    N 027698RBACCBDEEBDBEABBDCDB CAADEBCACABDDADAADBCECCECDCABADBCDCABADD                              
153000044001010102001   5310 #0001    N 027462RDEE ACEABEB CD D   BEDEABE C   A   AA ACB BEDDCBC  ECCDCABDE                              
